Ano;Departamento;gabinete;sector;subsector;institucion;proyecto;monto;
2019;El Paraíso;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;ATENCIÓN A MUJERES, JÓVENES, NIÑOS Y NIÑAS EN SITUACIÓN DE VIOLENCIA Y RIESGO SOCIAL;1527326.000000000000000000000000000000;
2019;El Paraíso;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;BOLSON ESCOLAR Y EQUIPO DE UTILES;404280.000000000000000000000000000000;
2019;El Paraíso;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;CENTROS DE ATENCIÓN A PERSONAS  CON CAPACIDADES ESPECIALES Y ADULTOS MAYORES EN SITUACIÓN DE VULNERABILIDAD;3857215.000000000000000000000000000000;
2019;El Paraíso;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;OPORTUNIDADES PARA MADRES Y JOVENES COMO ESTRATEGIA DE SALIDA DEL BONO VIDA MEJOR;82660.000000000000000000000000000000;
2019;El Paraíso;Gabinete Social;Promoción y Protección Humana;Salud;Secretaría de Desarrollo e Inclusión Social;PROGRAMA APOYO A LA RED DE INCLUSIÓN SOCIAL CON PRIORIDAD EN OCCIDENTE;71810077.000000000000000000000000000000;
2019;El Paraíso;Gabinete Económico;Agroforestal y Turismo;Desarrollo Productivo;Secretaría de Agricultura y Ganadería;PROGRAMA DE DESARROLLO RURAL SOSTENIBLE PARA LA REGION SUR (EMPRENDESUR);18392885.000000000000000000000000000000;
2019;El Paraíso;Gabinete Económico;Agroforestal y Turismo;Recursos Forestal Y Ambie;Instituto Nacional de Conservación y Desarrollo Forestal;ADAPTACION AL CAMBIO CLIMATICO EN EL SECTOR FORESTAL (CLIFOR);1577678.000000000000000000000000000000;
2019;Francisco Morazán;Entes Adscritos a la Presidencia de la Repúbl;Fortalecimiento Institucional;Modernización Del Estado;Servicio de Administración de Rentas;Fortalecimiento Institucional y Operativo de la Administración Tributaria;91054679.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Agroforestal y Turismo;Desarrollo Productivo;Cuenta del Desafío del Milenio-Honduras;PROYECTO DE COMPETITIVIDAD RURAL EN HONDURAS, (COMRURAL);137614937.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Agroforestal y Turismo;Desarrollo Productivo;Cuenta del Desafío del Milenio-Honduras;ALIANZA PARA EL CORREDOR SECO (USAID-GAFSP);97171692.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Comunicaciones y Energía;Carreteras;Cuenta del Desafío del Milenio-Honduras;Ampliación y Mejoramiento de Carretera CA-5 Norte Segmentos I y II (Sección 2A), Tramo Las Mercedes-Empalme Villa de San Antonio;6600000.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Promoción y Protección Humana;Protección Social;Cuenta del Desafío del Milenio-Honduras;Centros de Atención Integral para mejorar las condiciones de vida de las mujeres hondureñas (Ciudad Mujer);6194406.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Comunicaciones y Energía;Carreteras;Cuenta del Desafío del Milenio-Honduras;CONSTRUCCION DEL CORREDOR LOGISTICO VILLA DE SAN ANTONIO - GOASCORAN SECCION II Y III;11094437.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Comunicaciones y Energía;Carreteras;Cuenta del Desafío del Milenio-Honduras;CORREDOR PACÍFICO-PROGRAMA DE INTEGRACIÓN VIAL REGIONAL;411353460.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Comunicaciones y Energía;Carreteras;Cuenta del Desafío del Milenio-Honduras;PROGRAMA VIAL DE INTEGRACION VIAL REGIONAL II;55757898.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Agroforestal y Turismo;Recursos Forestal Y Ambie;Cuenta del Desafío del Milenio-Honduras;PROGRAMA PILOTO DE RESILIENCIA CLIMÁTICA (PPCR);19339856.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Fortalecimiento Institucional;Modernización Del Estado;Cuenta del Desafío del Milenio-Honduras;ADMINISTRACION DEL PROGRAMA, MONITOREO Y EVALUACION (PROGRAMA UMBRAL);9192259.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Fortalecimiento Institucional;Modernización Del Estado;Cuenta del Desafío del Milenio-Honduras;PROYECTO ASOCIACIONES PUBLICO-PRIVADAS (PROGRAMA UMBRAL);2191348.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Fortalecimiento Institucional;Modernización Del Estado;Cuenta del Desafío del Milenio-Honduras;PROYECTO DE ADMINISTRACION FINANCIERA PUBLICA (PROGRAMA UMBRAL);22155228.000000000000000000000000000000;
2019;Francisco Morazán;Entes sin Adscripción a un Gabinete Sectorial;Fortalecimiento Institucional;Descentralización;Secretaría de Coordinación General del Gobierno;APOYO A LA GESTIÓN BASADA EN RESULTADOS A NIVEL MUNICIPAL;270000.000000000000000000000000000000;
2019;Francisco Morazán;Entes que no forman parte del Poder Ejecutivo;Fortalecimiento Institucional;Modernización Del Estado;Poder Judicial;PROMOVIENDO UNA JUSTICIA RAPIDA Y ACCESIBLE EN HONDURAS (EUROJUSTICIA);155127571.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Económico;Agroforestal y Turismo;Desarrollo Productivo;Secretaría de Finanzas;PROYECTO DE COMPETITIVIDAD RURAL EN HONDURAS, (COMRURAL);720000.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Económico;Fortalecimiento Institucional;Modernización Del Estado;Instituto Hondureño de Ciencia, Tecnología e Innovación;Apoyo al Fortalecimiento del Sistema Nacional de Ciencia, Tecnología e Innovación de Honduras.;437000.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Económico;Fortalecimiento Institucional;Modernización Del Estado;Secretaría de Finanzas;APOYO A LA ESTRATEGIA DE INVERSION PUBLICA DE MEDIANO PLAZO;1232000.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Económico;Fortalecimiento Institucional;Modernización Del Estado;Secretaría de Finanzas;MANEJO SOSTENIBLE DE BOSQUES;85687690.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Económico;Fortalecimiento Institucional;Modernización Del Estado;Secretaría de Finanzas;PROYECTO MEJORA DE LOS SISTEMAS DE GESTION DE LAS FINANZAS PUBLICAS;3589600.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Económico;Promoción y Protección Humana;Protección Social;Secretaría de Finanzas;APOYO A LA IMPLEMENTACIÓN DEL PLAN DE LA ALIANZA PARA LA PROSPERIDAD DEL TRIÁNGULO NORTE (PAPTN);8344423.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Comunicaciones y Energía;Energía;Fondo Hondureño de Inversión Social;PRODUCTIVIDAD Y OPORTUNIDAD PARA EL DESARROLLO A TRAVÉS DE ENERGÍA RENOVABLE (PODER);11837275.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Comunicaciones y Energía;Energía;Programa Nacional de Desarrollo Rural y Urbano Sostenible;PROYECTO DE ENERGÍA RENOVABLE PARA EL DESARROLLO RURAL SOSTENIBLE PRO-ENERGÍA RURAL;14833000.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Fortalecimiento Institucional;Seguridad Y Defensa;Fondo Hondureño de Inversión Social;PROGRAMA DE CONVIVENCIA CIUDADANA Y MEJORAMIENTO DE BARRIOS;117716409.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Fortalecimiento Institucional;Seguridad Y Defensa;Fondo Hondureño de Inversión Social;PROYECTO CONVIVENCIA Y ESPACIOS SEGUROS PARA LOS JÓVENES EN HONDURAS;8505699.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Promoción y Protección Humana;Protección Social;Fondo Hondureño de Inversión Social;PROGRAMA DE INFRAESTRUCTURA PARA LA SEGURIDAD CIUDADANA;35743302.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Promoción y Protección Humana;Educación;Fondo Hondureño de Inversión Social;PROGRAMA DE MEJORA DE LA INFRAESTRUCTURA ESCOLAR (PROMINE/KFW, FASE II);64168869.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Social;Promoción y Protección Humana;Educación;Secretaría de Educación;Fortalecimiento del Desarrollo Profesional Docente;16869800.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Social;Promoción y Protección Humana;Educación;Secretaría de Educación;PROGRAMA DE MEJORA DE LA INFRAESTRUCTURA ESCOLAR (PROMINE/KFW, FASE II);306472.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Social;Promoción y Protección Humana;Protección Social;Dirección Nacional del Programa Ciudad Mujer;Centros de Atención Integral para mejorar las condiciones de vida de las mujeres hondureñas (Ciudad Mujer);17352588.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete de Infraestructura, Servicios y Empr;Promoción y Protección Humana;Protección Social;Fondo Hondureño de Inversión Social;PROYECTO DE INFRAESTRUCTURA RURAL (BCIE);5486442.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;ATENCIÓN A MUJERES, JÓVENES, NIÑOS Y NIÑAS EN SITUACIÓN DE VIOLENCIA Y RIESGO SOCIAL;8474240.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;BOLSON ESCOLAR Y EQUIPO DE UTILES;862630.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;CENTROS DE ATENCIÓN A PERSONAS  CON CAPACIDADES ESPECIALES Y ADULTOS MAYORES EN SITUACIÓN DE VULNERABILIDAD;11143062.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;OPORTUNIDADES PARA MADRES Y JOVENES COMO ESTRATEGIA DE SALIDA DEL BONO VIDA MEJOR;7025190.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;PROGRAMA DE APOYO AL SISTEMA DE PROTECCION SOCIAL (BONO VIDA MEJOR) BID 3371/BL-HO;170579907.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;SEGUNDO FINANCIAMIENTO ADICIONAL PARA EL PROYECTO DE PROTECCION SOCIAL(BONO VIDA MEJOR) BM 5603;20702563.000000000000000000000000000000;
2019;Francisco Morazán;Gabinete Social;Promoción y Protección Humana;Educación;Secretaría de Educación;Mejora de la Calidad Educativa para el Desarrollo de Habilidades para el Empleo: Proyecto Joven;75484952.000000000000000000000000000000;
